,open,high,low,close,volume,marketCap,timestamp,crypto_name,date
31606,0.2814910075,0.2857209712,0.2655585758,0.2708740669,117140025.349622,117629256.023581,2019-11-15T23:59:59.999Z,Algorand,2019-11-15
31607,0.0298488283,0.0299299689,0.0286817941,0.0287457161,5059047.10786893,30187069.6504693,2019-11-15T23:59:59.999Z,Decentraland,2019-11-15
31608,21.2417204613,21.2949739569,20.1778966924,20.316225799,225530774.746166,3159918981.34226,2019-11-15T23:59:59.999Z,BNB,2019-11-15
31609,3.7989413201,3.8166994111,3.6007295279,3.6528869352,236429596.344778,881383342.855913,2019-11-15T23:59:59.999Z,Huobi Token,2019-11-15
31610,0.0143903756,0.0146735874,0.0134668405,0.0137662601,5343337.615918,51799259.304216,2019-11-15T23:59:59.999Z,Chiliz,2019-11-15
31611,6.7727877468,6.7768671831,6.595427461,6.6251139984,40049282.1067188,79983265.5226949,2019-11-15T23:59:59.999Z,Quant,2019-11-15
31612,0.0866856458,0.0936836641,0.0860505035,0.0928516668,2346398.56378906,80827625.7288276,2019-11-15T23:59:59.999Z,Theta Network,2019-11-15
31613,1.0080560998,1.0211108812,0.9969406813,1.003484176,6591006.37081808,17847267.095521,2019-11-15T23:59:59.999Z,Binance USD,2019-11-15
31614,5.6155862434,5.8674608577,4.3966912412,4.876688642,5597737.88876681,0.0,2019-11-15T23:59:59.999Z,Filecoin,2019-11-15
31615,4.0173181068,4.1364588399,3.8622522144,3.9273815011,159604698.979127,748906248.581991,2019-11-15T23:59:59.999Z,Cosmos,2019-11-15
31616,186.058166051,186.25183211,179.379559595,180.521180884,8815678477.41818,19598770323.5678,2019-11-15T23:59:59.999Z,Ethereum,2019-11-15
31617,0.0521206574,0.0524829817,0.0472184222,0.0486011632,102164.92254057,5190727.09379962,2019-11-15T23:59:59.999Z,THORChain,2019-11-15
31618,0.0371918233,0.0396119214,0.03557011,0.0357818782,34487949.7444778,418239505.920772,2019-11-15T23:59:59.999Z,Cronos,2019-11-15
31619,3.4188013275,3.4784194811,3.3281376448,3.3446734554,2058586139.80806,3145080224.68633,2019-11-15T23:59:59.999Z,EOS,2019-11-15
31620,1.2220708935,1.2631784194,1.1451968391,1.1720525008,32203363.324744,773992543.401441,2019-11-15T23:59:59.999Z,Tezos,2019-11-15
31621,1.439906958,1.5562750649,1.4360851646,1.4826714199,5853553.4603305,78035288.9402019,2019-11-15T23:59:59.999Z,FTX Token,2019-11-15
31622,4.7856458618,4.7895043015,4.5549601376,4.5657478068,643961644.03106,525570507.843903,2019-11-15T23:59:59.999Z,Ethereum Classic,2019-11-15
31623,280.07099906,280.27366437,264.035658767,264.710201426,1918658720.76514,4795268314.23972,2019-11-15T23:59:59.999Z,Bitcoin Cash,2019-11-15
